descripcion,precio,tipoAplicacion,cantidad,costoUnidad,precioUnidad
LIM.FLASH CHERRY 5L CHERRY    ,"2394,59",Cocina,100,"23,9459","29,932375"
LIM.FLASH CITRICO 5L CITRICO  ,"2394,59",Cocina,100,"23,9459","29,932375"
PALA GAUCHITA REBATIB C/CABO C,1996,Multiuso,100,"19,96","24,95"
PALA LA GAUCHITA ASAPRACTIC AS,"315,67",Multiuso,100,"3,15669","3,9458625"
ESC.DESAFIO 12PAL.X 50U 12 PAL,"1237,64",Cocina,100,"12,3764","15,4705"
P.HIG.CAUTIVA NAT.30M 6U NATUR,"481,58",Multiuso,100,"4,8158","6,01975"
P.HIG.ELITE EXT.H/S30M 6U EXTR,"590,69",Multiuso,100,"5,9069","7,383625"
P.HIG.ELITE H.SIM.A/V 80m 4u H,"813,81",Multiuso,100,"8,13809","10,1726125"
P.HIG.ELITE ULTRA SEDA 30m 4u ,899,Multiuso,100,"8,98999","11,2374875"
P.HIG.HIGIEN.D/H 30M4U 30M    ,699,Multiuso,100,"6,99","8,7375"
P.HIG.HIGIEN.DUO DH50M 4U DUO ,"1061,26",Multiuso,100,"10,61259","13,2657375"
PASACERA L.GAUCHITA TURBO TURB,"826,53",Piso,100,"8,2653","10,331625"
D.INOD.AYUDIN CANASTA 16g     ,"475,94",Multiuso,100,"4,7594","5,94925"
D.INOD.GLAD.CAN.COMP27.5G CAN.,"356,78",Multiuso,100,"3,5678","4,45975"
D.INOD.GLADE PAST.M.CAMPO MAÑA,"187,55",Multiuso,100,"1,8755","2,344375"
D.INOD.HARPIC PAST.LAV 20g LAV,"190,64",Multiuso,100,"1,9064","2,383"
D.INOD.HARPIC PASt.PINO 20g PI,"190,64",Multiuso,100,"1,9064","2,383"
D.INOD.POETT CANA.REP.27.5g CA,315,Multiuso,100,"3,14999","3,9374875"
D.INOD.POETT CANASTA APAR 27.5,"392,95",Multiuso,100,"3,92949","4,9118625"
PERF.POETT FRAG.ALEGRA TU DIA2,"775,61",Multiuso,100,"7,7561","9,695125"
PERF.POETT FRAG.ALGOD250C FRAG,"775,61",Multiuso,100,"7,7561","9,695125"
ROLLO C.ELIT.DISEÑO FLOR60H DI,"507,49",Multiuso,100,"5,07489","6,3436125"
ROLLO C.ELITE 120H 2U 120H    ,739,Multiuso,100,"7,39","9,2375"
L/VIDRIO GAUCH.SECAMAX DUO SEC,"1743,2",Multiuso,100,"17,43199","21,7899875"
L/VIDRIO GAUCHITA C/CABO CON C,"1323,41",Multiuso,100,"13,23409","16,5426125"
L/VIDRIO VIRULANA             ,"669,68",Multiuso,100,"6,69678","8,370975"
SECADOR ASAPRACTIC D.GOMA MED ,"840,24",Multiuso,100,"8,40239","10,5029875"
SERV.ELIT.GOLD DISEÑO 35u GOLD,369,Multiuso,100,"3,69","4,6125"
SERV.ELIT.GOLD DISEÑO Nav 35U ,335,Multiuso,100,"3,35","4,1875"
SERV.ELITE BCA 30X30 120U BLAN,499,Multiuso,100,"4,99","6,2375"
SUAVIZ.BORITA BEBE D/P 900C BE,"423,84",Cocina,100,"4,2384","5,298"
SUAVIZ.BORITA SOL D/P 900C SPL,"423,84",Cocina,100,"4,2384","5,298"
SUAVIZ.BORITA TRAD.D/P 900C TR,"423,84",Cocina,100,"4,2384","5,298"
SUAVIZ.COMFORT CEL.DP900c CEL.,"506,99",Cocina,100,"5,0699","6,337375"
SUAVIZ.COMFORT CUI.ESENC.DP450,"930,49",Cocina,100,"9,3049","11,631125"
FRANELA MEDIA NJA 45X50cm 56X5,"583,5",Cocina,100,"5,83499","7,2937375"
PAÑO BALLERINA 3U MULTIUSO    ,"555,39",Cocina,100,"5,5539","6,942375"
PAÑO ESP.AYUDIN COCINA 1U- COC,"446,49",Cocina,100,"4,4649","5,581125"
